eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,187,854667,22030.0,356,12753.838666666667,12030.948555555553,28.0,2.0,0.0091,91.4541,3.6515,0.0102,0.1136,364,0.23,6.5696,7.129
nan,nan,nan,nan,nan,188,864551,22261.0,360,8808.853666666666,9380.614555555554,12.0,0.0,0.0091,204.1606,3.2937,0.0148,0.1623,309,0.2552,9.8126,10.5694
nan,nan,nan,nan,nan,189,877857,22566.7,364,9289.681999999997,8432.897666666666,16.0,2.0,0.0074,302.8019,3.9183,0.0126,0.1472,416,0.2598,-13.4349,11.3133
11942.382,11.0,8.0,13736.102666666666,18.5,190,886098,22752.2,368,4297.039333333333,7583.116111111111,5.0,0.0,0.0074,98.4615,2.8319,0.0125,0.1318,258,0.2293,1.9959,9.8743
nan,nan,nan,nan,nan,191,898542,23190.7,372,11779.923666666667,10756.534333333335,28.0,2.0,0.002,111.3051,3.8081,0.0056,0.09,389,0.2214,5.1104,9.3551
nan,nan,nan,nan,nan,192,910098,23470.5,376,10705.33566666667,11250.066,21.0,3.0,0.0059,33.5652,3.6019,0.0095,0.0888,362,0.1937,3.5769,4.744
nan,nan,nan,nan,nan,193,919891,23707.1,380,10207.613,9329.350333333334,26.0,3.0,0.0042,39.1865,3.2566,0.0069,0.0854,307,0.1904,4.8548,4.1612
nan,nan,nan,nan,nan,194,929474,23936.9,384,11705.694666666666,10408.636444444444,21.0,1.0,0.0074,143.2285,3.1322,0.0099,0.115,300,0.2201,8.7503,8.3716
nan,nan,nan,nan,nan,195,940016,24197.4,388,9730.783333333335,10613.255000000003,18.0,2.0,0.0062,34.3857,3.5129,0.0047,0.0787,330,0.3007,3.1489,5.1077
nan,nan,nan,nan,nan,196,949647,24435.9,392,8027.807,9876.118444444444,22.0,1.0,0.0071,58.5136,3.2373,0.0094,0.0845,301,0.2522,1.9973,7.5295
nan,nan,nan,nan,nan,197,959659,24674.2,396,14903.990000000007,9165.177444444447,35.0,8.0,0.0056,49.5987,3.5093,0.0103,0.1177,313,0.3377,-0.3674,7.1675
nan,nan,nan,nan,nan,198,968558,24883.6,400,9057.759999999998,7105.36811111111,24.0,3.0,0.0068,199.7821,3.1707,0.01,0.1121,279,0.2302,-5.7445,13.0136
nan,nan,nan,nan,nan,199,977228,25090.8,404,9041.833666666667,9811.929111111114,17.0,4.0,0.004,52.797,3.0889,0.0082,0.0851,271,0.234,4.402,5.9667
13278.942333333332,13.0,6.5,11992.748833333333,16.5,200,987272,25334.6,408,11625.603,11297.268333333333,27.0,3.0,0.0049,115.1284,3.2426,0.0076,0.0887,314,0.2545,6.8273,8.444
nan,nan,nan,nan,nan,201,998257,25741.4,412,11335.953,10300.993666666667,24.0,7.0,0.0075,38.857,3.3234,0.0102,0.0961,344,0.1925,0.3459,6.36
nan,nan,nan,nan,nan,202,1007390,25968.1,416,9008.735333333332,8345.713444444445,24.0,4.0,0.0078,33.2579,3.1452,0.0116,0.1079,286,0.2592,-3.8059,4.5154
